rowid,number,state,title,labels_name,labels_id,labels_color,labels_description,commentcount,body,comments_txt,draft,comments_url,created_at,updated_at,user,assignee1,medium,high,high-ish,high not high-ish
42,412,open,Code solutions for huge analyses relates to #163,enhancement|urgency low|speed / performance (see #444),4538805068|6227891676|6535412240,cfd3d7|cfd3d7|e99695,"New feature or request||related to monitoring the app too but mostly about speed / load, profiling, asynch, sessions,, etc.",0,,,"**Code solutions for huge analyses** to handle those cases where radius is > current RMAX and/or points count is > current NMAX -- this is an enhancement and is less urgent, but very useful to be able to run an analysis of radius of 6 miles or even 31 miles (50km), and also useful to be able to run 30,000 or 100k or 1.5 million facilities at once rather than needing to manually create batches.

https://github.com/USEPA/EJAM/issues/163",https://api.github.com/repos/USEPA/EJAM/issues/412/comments,6/17/2024,6/17/2024,leeeddie424,none,0,0,0,FALSE
43,410,open,Warn Users huge run would be slow - relates to #163,enhancement|speed / performance (see #444)|urgency high-ish but not a bug,4538805068|6535412240|7539794549,cfd3d7|e99695|B9463A,"New feature or request|related to monitoring the app too but mostly about speed / load, profiling, asynch, sessions,, etc.|for high urgency enhancements, to rank them just below high urgency bugs",2,,Assigning ticket to @saradelessio-abt |is doing this just waiting for #408 to be done?,"**warn users** about the RSLOW and NSLOW where it slows down enough to be concerning but has not yet hit the caps RMAX and NMAX where it is so bad we don't allow them to do it at all.

https://github.com/USEPA/EJAM/issues/163",https://api.github.com/repos/USEPA/EJAM/issues/410/comments,6/17/2024,1/10/2025,leeeddie424,saradelessio-abt,0,1,1,FALSE
44,408,open,Test bounds re:  huge/slow runs - relates to #163,bug|urgency medium|speed / performance (see #444),4538805065|6227894519|6535412240,d73a4a|FBCA04|e99695,"Something isn't working||related to monitoring the app too but mostly about speed / load, profiling, asynch, sessions,, etc.",3,,"@mlfurman3 please reassign|Still investigating limits and arrow capabilities.|@DougMoy re-assigning ticket to you
cc: @sarasoko","**test bounds** to learn at what points the various components start to fail (THIS STEP IS SOMEWHAT URGENT & is essentially a bug - need to know what the boundaries are for what should be allowed or warned about, until we have time to handle pushing those bounds). The problems probably start to occur when you have a combination of large R and large N, and probably scales linearly with N but as the square of R since the number of block points grows with area which is proportional to R squared.

https://github.com/USEPA/EJAM/issues/163",https://api.github.com/repos/USEPA/EJAM/issues/408/comments,6/17/2024,2/10/2025,leeeddie424,DougMoy,1,0,0,FALSE
45,396,open,"Consider NSPS, GACT, other codes as extra ways to pick facilities( not just MACT codes). ",enhancement|urgency low|datasets/ pins/ AWS/ etc.|SectorsReport,4538805068|6227891676|6343736234|6954012580,cfd3d7|cfd3d7|0E8A16|C5A39F,"New feature or request||related to data files via pins board, AWS, dataload_ etc.|Report comparing categories of facilities (by NAICS etc)",0,,,"NSPS, GACT, etc. could be used to expand or parallel ""mact"" subpart selection approach. There are over 100k facilities in the ICIS air program subparts database and we could add those other codes as additional ways one can specify groups of facilities. We already pull MACT subpart codes from there. We could use GACT and NSPS and other info. 
- Discuss whether it is useful and worth the effort. Would need to consider an efficient way to add the functionality. e.g., more selection lists just like MACT codes but for NSPS codes and area source codes etc. is easy to code but cluttered and can't combine across groups. A unified list would require redoing how MACT etc. are selected - would need to specify the code and the code group, like code=""WWW"", group = ""NSPS"" ? or is each code unique to a group? The app UI and functions are designed just for MACT or just NAICS or just SIC etc., so this might require not-insignificant refactoring to implement.
- Discuss if users may want entire sets like all GACT or ""all NSPS,"" not just one or more codes within that (e.g., ""NSPS WWW"").

WHAT HAS BEEN IN MACT TABLE IN EJAM:
```
mact_table[order(mact_table$N,decreasing = T), c(""subpart"", ""title"", ""N"")]

 subpart                                                                        title     N
     ZZZZ                  STATIONARY RECIPROCATING INTERNAL COMBUSTION ENGINES (RICE) 25996
        M                                               DRY CLEANERS PERCHLOROETHYLENE  8763
        A                                                           GENERAL PROVISIONS  5052
       HH                                    OIL AND NATURAL GAS PRODUCTION FACILITIES  3656
   HHHHHH                PAINT STRIP & MISC SURFACE COATING OPERATIONS AT AREA SOURCES  3169
    DDDDD  MAJOR SOURCES: INDUSTRIAL/COMMERCIAL/INSTITUTIONAL BOILERS & PROCESS HEATER  2737
   CCCCCC                                               GASOLINE DISPENSING FACILITIES  1700
        T                                                 HALOGENATED SOLVENT CLEANING  1255
        N                                                      CHROMIUM ELECTROPLATING  1185
  (etc etc)

sum(mact_table$N)
                  68,185
```

What could be added from ICIS database -- OTHER TYPES OF FACILITIES BEYOND JUST THE ""MACT"" subparts:
```
x = read_csv_or_xl(""~/../Downloads/ICIS-AIR_PROGRAM_SUBPARTS.csv"")

cbind(table(x$PROGRAM_DESC))

# [MACT Standards] (40 CFR Part 63)                                                               68,375  # The only type in EJAM so far

# [GACT Standards] (40 CFR Part 63) Area Sources                                                  19,350  # AREA SOURCES (GACT)

# New Source Performance Standards                                                                85,801  # NSPS MAJOR - huge list
# New Source Performance Standards (Non-Major)                                                     3,357  # NSPS MINOR 

# National Emission Standards for Hazardous Air Pollutants (40 CFR Part 61)                        5,202 # part 62
# Part 62 - State and Federal Plans for Control of Designated Pollutants from Existing Facilities     22 
# State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards           3
# The Mandatory Greenhouse Gas Reporting Rule                                                        152
```
",https://api.github.com/repos/USEPA/EJAM/issues/396/comments,5/28/2024,5/28/2024,ejanalysis,none,0,0,0,FALSE
46,391,open,do faster uploads of very large user spreadsheets via SheetReader-r,enhancement|urgency low|speed / performance (see #444),4538805068|6227891676|6535412240,cfd3d7|cfd3d7|e99695,"New feature or request||related to monitoring the app too but mostly about speed / load, profiling, asynch, sessions,, etc.",0,,,"fhenz/SheetReader-r is an R-Package for parsing Excel files very quickly - bare bones reading but fast.

https://github.com/fhenz/SheetReader-r

Benchmarks on files of roughly 200,000 rows by 100 columns indicate SheetReader to be about 
3x faster with 20x less memory usage than readxl, and 
15x faster with 10x less memory than openxlsx. 

",https://api.github.com/repos/USEPA/EJAM/issues/391/comments,5/23/2024,5/23/2024,ejanalysis,none,0,0,0,FALSE
47,390,open,"consider adding ""geopackage"" format as an option for inputs and outputs of shapefiles",enhancement|urgency low|shapefile-related,4538805068|6227891676|6343756696,cfd3d7|cfd3d7|C2E0C6,New feature or request||related to polygons/ shapefile/ GIS data/ buffers,0,,,"e.g. see 
https://mapscaping.com/shapefiles-vs-geopackage about pros and cons of formats

https://mapping-in-r-workshop.ryanpeek.org/02_import_export_gpkg  using the sf package  import/export of gpkg format

https://cran.r-project.org/web/packages/gpkg/vignettes/intro.html  using another package to do this
",https://api.github.com/repos/USEPA/EJAM/issues/390/comments,5/21/2024,5/21/2024,ejanalysis,none,0,0,0,FALSE
48,386,open,consider new features like Env Health Data Viz tool has,enhancement|urgency low,4538805068|6227891676,cfd3d7|cfd3d7,New feature or request|,0,,,"Env Health Data Viz tool won awards and has high visibility. It offers some nice features to consider adopting for EJAM:

- user can export just selected data like a list of selected counties
- user can pick 1 state from pulldown to zoom to and view filtered to that state
- offers many layers of data (>70 indicators). API pulls in lots of county data layers on the fly, and maybe for block groups too.
- side by side maps -people seem to like them
- app is very responsive - it updates maps and lists and plots very quickly
",https://api.github.com/repos/USEPA/EJAM/issues/386/comments,5/16/2024,5/16/2024,ejanalysis,none,0,0,0,FALSE
49,384,open,revisit slider increment size ,enhancement|urgency low,4538805068|6227891676,cfd3d7|cfd3d7,New feature or request|,0,,,"if we want to allow high radius precision (stepradius = 0.05), should probably use a Shiny throttle/debounce so that maps don't get redrawn so often.
or see issue #211 about offering option to type in radius in which case slider increments could be made bigger like 1 mile",https://api.github.com/repos/USEPA/EJAM/issues/384/comments,5/16/2024,5/16/2024,ejanalysis,none,0,0,0,FALSE
50,383,open,switch to Quarto for the long report (static word doc template TSD on outputs of an analysis),enhancement|urgency medium|LongReport_output,4538805068|6227894519|6954028026,cfd3d7|FBCA04|304702,New feature or request||static word doc TSD on results of ejam run - via Quarto template,0,,,,https://api.github.com/repos/USEPA/EJAM/issues/383/comments,5/15/2024,5/15/2024,ejanalysis,none,1,0,0,FALSE
51,381,open,"ejam2barplot() should let you specify one site (or more than 1?) to plot stats from, not just use results_overall",enhancement|urgency low|plots-graphs-related,4538805068|6227891676|6235793514,cfd3d7|cfd3d7|C2E0C6,"New feature or request||related to plotting/graphing like histo, bar, box, scatter",0,,,"`ejam2barplot()` and `plot_barplot_ratios_ez()` need a sitenumber parameter that would tell function instead of using
` out$results_overall`
that it should use
`out$results_bysite[ejam_uniq_id == sitenumber[1], ]`
where sitenumber has to be only 1 number.

... or maybe even allow for multiple sites that would need to get aggregated _somehow_
`out$results_bysite[ejam_uniq_id %in% sitenumber, ]`

",https://api.github.com/repos/USEPA/EJAM/issues/381/comments,5/14/2024,5/14/2024,ejanalysis,ejanalysis,0,0,0,FALSE
52,365,open,let shiny app user download a file identical to output of ejamit()... or a way to convert xlsx to that,enhancement|urgency low,4538805068|6227891676,cfd3d7|cfd3d7,New feature or request|,0,,,"Provide a way a shiny app user can download a file (maybe .rda format?) that is identical the output of ejamit(), that they can then use in RStudio in the various functions designed to work with ejamit() output. 

Alternatively, provide a function that can convert the excel spreadsheet into that format, a list of tables etc. exactly like the output of ejamit() would have been. This would be like the inverse of ejam2excel(), essentially. 
",https://api.github.com/repos/USEPA/EJAM/issues/365/comments,5/8/2024,9/4/2024,ejanalysis,none,0,0,0,FALSE
53,360,open,"Excel overall tab Unused columns should have ""NA"" and hide",enhancement|urgency low,4538805068|6227891676,cfd3d7|cfd3d7,New feature or request|,0,,," Those placeholder empty columns can be made very narrow or even hidden on the overall tab -- hidden but retained, so formats of tab are identical. (ejam_uniq_id, urls, etc.) ",https://api.github.com/repos/USEPA/EJAM/issues/360/comments,5/8/2024,5/8/2024,ejanalysis,none,0,0,0,FALSE
54,359,open,plot tab in excel with demographic ratios should have both ratio to us and ratio to state plots.,enhancement|urgency medium|plots-graphs-related,4538805068|6227894519|6235793514,cfd3d7|FBCA04|C2E0C6,"New feature or request||related to plotting/graphing like histo, bar, box, scatter",0,,,"similar to issue #358 but important because demographics and state comparison are important.

The plot tab in excel with demographic ratios should have both ratio to us and ratio to state plots. can use this:
```
plot_barplot_ratios_ez(out, c(names_d_ratio_to_state_avg, names_d_subgroups_ratio_to_state_avg), 
  main = ""Demographic Indicators at Analyzed Sites Compared to Statewide"")

plot_barplot_ratios_ez(out, c(names_d_ratio_to_avg, names_d_subgroups_ratio_to_avg), 
  main = ""Demographic Indicators at Analyzed Sites Compared to Nationwide"")

```",https://api.github.com/repos/USEPA/EJAM/issues/359/comments,5/8/2024,6/10/2024,ejanalysis,none,1,0,0,FALSE
55,358,open,"new function for envt barplots? and new tab in excel called ""plot envt""",enhancement|urgency medium|plots-graphs-related,4538805068|6227894519|6235793514,cfd3d7|FBCA04|C2E0C6,"New feature or request||related to plotting/graphing like histo, bar, box, scatter",0,,,"new tab in excel called ""plot envt"" should have copy of barplots group showing ratios to US avg for all envt indicators as usavg, siteavg, person avg. That plot should be made available as a function broken out from the shiny server code. HOWEVER, it could simply be the output of these two plot functions:
```

plot_barplot_ratios_ez(testoutput_ejamit_100pts_1miles, names_e_ratio_to_state_avg, 
  main = ""Environmental Indicators at Analyzed Sites Compared to Statewide"")

plot_barplot_ratios_ez(testoutput_ejamit_100pts_1miles, names_e_ratio_to_avg, 
  main = ""Environmental Indicators at Analyzed Sites Compared to Nationwide"")


```",https://api.github.com/repos/USEPA/EJAM/issues/358/comments,5/8/2024,5/8/2024,ejanalysis,none,1,0,0,FALSE
56,357,open,"tab in excel called ""plot"" should be renamed to be ""plot %demog""",enhancement|urgency medium,4538805068|6227894519,cfd3d7|FBCA04,New feature or request|,0,,,,https://api.github.com/repos/USEPA/EJAM/issues/357/comments,5/8/2024,5/8/2024,ejanalysis,none,1,0,0,FALSE
57,356,open,improve format/resolution of plot_distances tab in excel,enhancement|urgency low|plots-graphs-related,4538805068|6227891676|6235793514,cfd3d7|cfd3d7|C2E0C6,"New feature or request||related to plotting/graphing like histo, bar, box, scatter",0,,,"The plot saved in the plot_distances tab should be formatted better so text is larger, etc. Existing and possibly better version are attached. But text labels ideally would be slanted to fit better, as done in other barplot already.

![worse plot](https://github.com/USEPA/EJAM/assets/8205979/59d01621-bb59-476c-a24a-31d52c597dd5)

![better plot](https://github.com/USEPA/EJAM/assets/8205979/423abc4b-0304-462e-9b6f-e3d528e22f1f)
",https://api.github.com/repos/USEPA/EJAM/issues/356/comments,5/8/2024,5/8/2024,ejanalysis,none,0,0,0,FALSE
58,355,open,doaggregate() - consider changes to results_bybg_people ,bug|enhancement|good first issue|urgency low,4538805065|4538805068|4538805069|6227891676,d73a4a|cfd3d7|7057ff|cfd3d7,Something isn't working|New feature or request|Good for newcomers|,2,,@ejanalysis further discussion is needed.|@ejanalysis what is the latest on this issue?,"1. **The pop count** might need better calculation in the table created by ejamit() or doaggregate() that is called results_bybg_people ...
This shows that pop seems identical regardless of which site the bg is near but it should vary and show only the fraction of the bgid pop count that is near that particular site (ejam_uniq_id). That number is calculated in doaggregate() somewhere but seems not to be put into results_bybg_people. This shows the issue: 
`
 testoutput_ejamit_1000pts_1miles$results_bybg_people[53:60, .(ejam_uniq_id, pop, bgid)]
` 

2. **results_bybg_overall**  should be returned or made available as an option somehow, not just the slightly different table that shows it bybg bysite (which has been named results_bybg_people, which is not very clear - if it were renamed it would be results_bybg_bysite).

### notes on How to get Distribution of Indicator Scores and Average, in each Demog group 

Want each Demog's DISTRIBUTION OF DISTANCES or ENVT for
   - Envt indicators, and for
   - Dist/proximity/sitecount stats.
  
Also, want 
    - %D as function of distance
    - Distance (mean) as function of Demog group
  
   We have each blockgroup near each site, which means some small % of those bgs are duplicated in this intermediate (not returned) table:
     `sites2bgs_plusblockgroupdata_bysite`
    and for those stats we would want to take only unique blockgroups from here,
    using the shorter distance I think, so the distribution of distances does not doublecount people.
  
   Sometimes we want this info OVERALL (not by site)
    Sometimes we want to see that distribution of **distances by D** *for just 1 site*
     And also want to see the **%D as a function of continuous distance** *at just 1 site*
    So although it would be simpler, clearer to return just all unique blockgroups NOT by site,
     just to retain flexibility this function currently reports all instances of blockgroup-site pairing.
  But, 
   ### we could return BOTH tables that provide 2 versions of info bybg: 
     - **bybg_bysite** (every blockgroup by site) plus 
     - **bybg_overall** (all blockgroups overall)
   Also note we could return both as blocks (for a higher resolution stepwise almost continous distance distribution):
     - **byblock_bysite** (like sites2blocks from getblocksnearby, but maybe with bg indicators joined? not efficient but convenient?) 
     - **byblock_overall** (like sites2blocks from getblocksnearby, but maybe with bg indicators joined? not efficient but convenient?) 
  
 see  archived file  /inst/notes_MISC/**NOTES_IDEA_OUT_BY_BG_SHOWS_DISTRIB_OVER_PEOPLE.R**",https://api.github.com/repos/USEPA/EJAM/issues/355/comments,5/7/2024,1/7/2025,ejanalysis,mlfurman3,0,0,0,FALSE
59,351,open,make names of test data consistent,documentation|refactor|urgency low,4538805066|6208400114|6227891676,C5DEF5|8F13A1|cfd3d7,Improvements or additions to documentation|Rewrite how code works or break into smaller pieces|,0,,,"This provides a useful list of test/sample data objects in key packages:
```
x <- EJAM:::datapack(simple = FALSE); cat(""\n\n"") 
x <- x[order(x$Package, x$Item), ] 
x[grepl(""^testp"", x$Item), ]  ; cat(""\n\n"")
x[grepl(""^test_"", x$Item), ]  ; cat(""\n\n"") 
x[grepl(""^testout"", x$Item), ]  ; cat(""\n\n"") 
x[grepl(""^test[^op_]"", x$Item), ]
```
The ones that have names starting with ""testpoints"" or ""testoutput"" are fine.
**The others should all be renamed to start with ""testinput_"" (instead of test_ or testdata_ or testids_ )** -- for example, test_address_table should become testinput_address_table.

To do this, 
- use global searches in ALL file types _in all 3 packages_, to make the changes (carefully) inside .R, .Rmd, and other files in various folders, then 
- rename the relevant files (e.g., EJAM/R/data_test_regid.R),  and datacreate_ files, and maybe .xlsx files?
-  redo devtools::document() 
-  install package and  
- rebuild vignettes and 
- update pkgdown site
- rebuild source package for github installs
- etc.",https://api.github.com/repos/USEPA/EJAM/issues/351/comments,5/3/2024,5/3/2024,ejanalysis,none,0,0,0,FALSE
60,346,open,offer user option to try running an example dataset ,enhancement|urgency medium|datasets/ pins/ AWS/ etc.,4538805068|6227894519|6343736234,cfd3d7|FBCA04|0E8A16,"New feature or request||related to data files via pins board, AWS, dataload_ etc.",0,,,"Where a user can select a file to upload, give them 2 options if they need help or are not sure how to start or don't have a file ready to go:
1. have a way they can click on some button or link to simulate the upload of a built-in sample dataset without having to upload anything themselves (like testpoints_100 should be something it would look like they just uploaded and then they can adjust radius and click start).
2. have a way they can click a link to download a zipped set of folders containing testdata similar to what is in the EJAM/inst/testdata/ but is currently stored here in a place anyone inside the network/on VPN should be able to reach it:
[Download Examples of files you can analyze in EJAM](https://usepa.sharepoint.com/:u:/s/EJAMWorkgroup/ETYFT6Y_W-lAlm_dH0GtiMABkgoIKXRFy-w8RcQ8cOrMUQ?e=UNFrur) - zipped set of files available from SharePoint (for trying out the EJAM app – files to download to your computer and then try uploading to EJAM for analysis)
 ",https://api.github.com/repos/USEPA/EJAM/issues/346/comments,4/24/2024,4/24/2024,ejanalysis,none,1,0,0,FALSE
61,345,open,shiny app shapefile upload process should also let user select a whole folder or .gdb or .zip,enhancement|shapefile-related|urgency high-ish but not a bug,4538805068|6343756696|7539794549,cfd3d7|C2E0C6|B9463A,"New feature or request|related to polygons/ shapefile/ GIS data/ buffers|for high urgency enhancements, to rank them just below high urgency bugs",3,,"Current change located on shapfefile-functions branch. 

shapefileUpdate: zip uploads containing valid files (.shp, .shx, .dbf, .prj) are able to upload and process. Limited to only functioning when these files are present. A warning is given otherwise.

 Functionality to upload geodatabases are available, but we will need to consider all of the permutations of how these can be presented in a zip file. Currently, gdb.zip functionality is available in shapefile_xyz, but additional investigations are needed to identify how to process/identify layers for zips of geodatabase folders and of geodatabases. The UI interface will likely need to be changed to allow a user to identify a specific polygon layer that can be used for processing, for example.   |@ParkerJanMalek is this on the development branch?|@leeeddie424 

> @ParkerJanMalek is this on the development branch?

Zip uploads are currently active on development. The gdb portion requires a bit more hooking up and testing to ensure that the application can correctly process geodatabase inputs of varying type quality. For example, many times geodatabases contain multiple layers. A robust upload method for complex gdb's like this may require some front end additions that allow users to choose the layer they want to see displayed. Additional checks for whether the layers are valid shapefile uploads would also need to be considered. Some of this functionality may be already applied in the shapefile_xyz.R script.
","In fixing this, try to use updated versions of shapefile_from_any(), ..._validize(), or related functions.

shiny app shapefile upload process should also let user select a whole _folder_ (with .shp,.dbf,etc.) _or gdb or .zip_ (where .zip has either .shp etc, or .gdb, or a whole folder (with .shp,.dbf,etc.)).

Revise the UI's shapefile upload instructions text and the app's error msg/warning text accordingly.

Also see #344  about better upload process for .shp,.dbf,etc.",https://api.github.com/repos/USEPA/EJAM/issues/345/comments,4/23/2024,10/22/2024,ejanalysis,ParkerJanMalek,0,1,1,FALSE
62,344,open,shiny app shapefile uploads of .shp/.dbf should work more robustly,enhancement|shapefile-related|urgency high-ish but not a bug,4538805068|6343756696|7539794549,cfd3d7|C2E0C6|B9463A,"New feature or request|related to polygons/ shapefile/ GIS data/ buffers|for high urgency enhancements, to rank them just below high urgency bugs",2,,"Seems mostly or entirely finished? Check if this should be closed. Tests pass after these changes made:
addressed by https://github.com/USEPA/EJAM/pull/369 and https://github.com/USEPA/EJAM/pull/442 
**Just need to confirm new functionality is also available from within ejamit() and from within shiny app/server/ui.**|@ParkerJanMalek is this issue okay to close?","In fixing this, try to use updated versions of shapefile_from_any(), ..._validize(), or related functions.

The app was telling user they must upload all 4 files .shp .dbf, etc. but then it allowed user to select only 1 instead of all 4 (and did not help user know how to select all 4) - and then it would not be able to start run - a hard-to-see warning said not all 4 files were provided.

What it should do now if trying to provide .shp/.dbf/etc. is this: 
Let a user select and upload any of these combinations:
- just .shp
- just .dbf
- .shp plus any 1 or more of the other types
- .dbf plus any 1 or more of the other types

Revise the UI's shapefile upload instructions text and the app's error msg/warning text accordingly.

Also see _related_ issues about allowing other filetypes (gdb, zip) and selecting just a whole folder.",https://api.github.com/repos/USEPA/EJAM/issues/344/comments,4/23/2024,1/13/2025,ejanalysis,ParkerJanMalek,0,1,1,FALSE
63,340,open,check/fix CRS throughout shapefile-related functions - should it be NAD83 or WGS84 to match EJScreen and data sources of lat/lon?,good first issue|urgency medium|maps-related|calculate/validate to EJScreen,4538805069|6227894519|6228710425|6343712128,7057ff|FBCA04|C2E0C6|FBCA04,"Good for newcomers||related to maps|related to errors in numbers, replicating EJScreen stats",0,,,Check with Alex H,https://api.github.com/repos/USEPA/EJAM/issues/340/comments,4/22/2024,9/5/2024,ejanalysis,ParkerJanMalek,1,0,0,FALSE
64,339,open,fix bug in batch.summarize() ,bug|good first issue|urgency low,4538805065|4538805069|6227891676,d73a4a|7057ff|cfd3d7,Something isn't working|Good for newcomers|,2,,"@DougMoy please look into |The problem is in the function batch.summarize in EJAMbatch.summarizer() which is called in ejamit. The number of elements in the variable rowfun is generated such that there are two times the number of elements in the input threshgroups. This is a problem because the variable bywhat only has 7 elements hard coded in it in the function batch.summarize, so in the forloop starting around line 400 that loops through the number of elements in rowfun, if there are more than 7 elements in rowfun, it will access something that is out of index in bywhat.  This is why the first input works because there are only 3 elements in threshgroups so it will not access anything past the 6th index, while the second input fails because it tries to access the 8th index in bywhat, which doesn't exist.

I am not sure what the possible fix is. I can include checks that stop the function running if it tries to access something out of bounds on bywhat, but that doesn't really address the problem of an input of more than 3 elements in threshnames not working. I am not sure about the purpose of this function and all the variables, but either the for loop needs to be addressed at line 400, or there needs to be more elements added to bywhat. If this function is supposed to work with any number of inputs, bywhat would have to be dynamically created based on the number of inputs in threshgroups. Feel free to reach out if there are any questions about my explanation.","Using an updated version of ejamit() which has the params below, 
this works:
```
x = ejamit(testpoints_10,    threshold = list(50, 80,   95),
threshnames = list( names_ej_pctile, names_ej_pctile,  names_ej_pctile),
threshgroup = list(""EJ US"", ""EJ US"", ""EJ US"" ))
```
but this fails somehow:   
```
x = ejamit(testpoints_10,    threshold = list(50, 80, 90, 95),
threshnames = list( names_ej_pctile, names_ej_pctile, names_ej_pctile, names_ej_pctile),
threshgroup = list(""EJ US"", ""EJ US"", ""EJ US"", ""EJ US"")) 
```",https://api.github.com/repos/USEPA/EJAM/issues/339/comments,4/22/2024,11/25/2024,ejanalysis,mlfurman3,0,0,0,FALSE
65,331,open,Update proximity score calculations in proxistat and related code,enhancement|good first issue|urgency medium|distance-related|calculate/validate to EJScreen|distance-adjustment for short dist,4538805068|4538805069|6227894519|6343333395|6343712128|7306076633,cfd3d7|7057ff|FBCA04|C2E0C6|FBCA04|ACC27C,"New feature or request|Good for newcomers||related to distances variables or calculations or plots|related to errors in numbers, replicating EJScreen stats|related to distance adj where 0 to 5 block pts are in circle",2,,@ejanalysis are these changes integrated yet?|see #143 also,"Proximity Score changes to be made April/May 2024 in EJScreen and in EJAM::proxistat()

1. Distance cut-off for **proximity** calculations (10km for BGs, ∞ for blocks within block groups within 10km) - this applies only to determining how many NPL sites are nearby or when EJScreen or EJAM creates a proximity score for each blockgroup in the US. Does not affect aggregation within some circular buffer, but suggests larger than 10km radius is not a great idea?
2. proximity score handling of which blocks are near which NPL/RMP/etc. sites
  - Distance **proximity** is measured from RMP (or other site) point or NPL polygon boundary to block group boundary (not bg centroid). 
  - then all blocks within those flagged block groups get included in the universe for calculation. 
  - proximity score Block-based calculations are still measured at centroid when summing 1/d even if the d is slightly larger than 10km. [this affects how the new proximity scores are created, like in proxistat() but not how doaggregate() would work]
3. Wlil start using polygon not point to represent each NPL in creating the NPL **proximity** scores [does not affect EJAM]
4. Changes to the **proximity** calculations for proximity to X where X are polygons (to accommodate the NPL polygons or others):
  - if block point is inside the NPL polygon then that block's 1/d value is fixed at 1/d = 11.  
  - any distance < 0.1 km gets rounded up to be 0.1 km.

Should check how v2.3 does short distance adjustment if at all (where d < effective block radius) for creating proximity scores.",https://api.github.com/repos/USEPA/EJAM/issues/331/comments,4/18/2024,1/22/2025,ejanalysis,ejanalysis,1,0,0,FALSE
66,329,open,"add ""% women of childbearing age"" as a calculated indicator (everywhere % female is shown)",enhancement|urgency medium,4538805068|6227894519,cfd3d7|FBCA04,New feature or request|,1,,"```

# SCRIPT TO GET 
# PERCENT OF POPULATION THAT IS WOMEN OF CHILD BEARING AGE
# FOR ALL US BLOCK GROUPS FROM ACS (but missing PR, VI, other Island Areas probably!)
# Use ages 18-49, not the more widely used 16-49, since ages 15-17 are all in a single bin.

library(data.table)
library(tidycensus) # NEED API KEY POSSIBLY, FOR LARGE QUERIES AT LEAST

x <- tidycensus::load_variables(2022, ""acs5"")
# print(x[grepl(""b01001_"", x$name, ignore.case = T) & grepl(""Female"", x$label) & grepl(""group"", x$geography), ], n = 25)
allstates <- list()

for (i in 1:length(state.abb)) {
  MYST <- state.abb[i]
  y <- get_acs(geography = ""block group"",  variables = c(""B01001_001"", paste0(""B01001_0"", 31:39)), state = MYST)
  setDT(y)
  bgs     <-  y[variable != ""B01001_001"" , .(age1849 = sum(estimate)), by = ""GEOID""]
  totals  <-  y[variable == ""B01001_001"" , .(pop = sum(estimate)),     by = ""GEOID""]
  bgs <- merge(bgs, totals, by = ""GEOID"")
  setDT(bgs)
  bgs[ , pct1849f := age1849 / pop]
  bgs[is.na(pct1849f), pct1849f := NA] # to be NA instead of NaN 
  allstates[[i]] <- bgs
}

allstates <- data.table::rbindlist(allstates)
pctfemale_18_to_49 <- allstates
rm(allstates, x, MYST, bgs, totals, i, y)

save(pctfemale_18_to_49, file = ""pctfemale_18_to_49.rda"")

```
16-49 is the age range most often used to define this but this paper notes complexities in that:
https://www.cdc.gov/nchs/data/series/sr_02/sr02_157.pdf

Count data are available from Census ACS table B01001, which lets one collect totals for ages 18-49 rather than 16-49, by block group nationwide.  Variables to sum are B01001_031 through B01001_039. Denominator would be total population in B01001_001.

```
Label	United States!!Estimate
        18 and 19 years	4424350
        20 years	2208387
        21 years	2192443
        22 to 24 years	6438019
        25 to 29 years	11099035
        30 to 34 years	11181154
        35 to 39 years	10869175
        40 to 44 years	10304569
        45 to 49 years	10086469
```",(contact M with any questions on this),https://api.github.com/repos/USEPA/EJAM/issues/329/comments,4/11/2024,5/16/2024,ejanalysis,ejanalysis,1,0,0,FALSE
67,327,open,Explain blockcount in map popups,urgency medium|maps-related,6227894519|6228710425,FBCA04|C2E0C6,|related to maps,0,,,"in `mapfast(testpoints_n(300))`, it says in the map popup eg ""blockcount: 22"". explain what does this mean, as better label at least

This is similar to feedback from multiple user sessions that map popups are too cluttered and not explained fully.
",https://api.github.com/repos/USEPA/EJAM/issues/327/comments,4/11/2024,4/11/2024,mlfurman3,none,1,0,0,FALSE
68,324,open,Consolidate unit conversion code,refactor|urgency low,6208400114|6227891676,8F13A1|cfd3d7,Rewrite how code works or break into smaller pieces|,0,,,"EJAM::convert_units(5, 'km', 'miles') is overlapping units::units() & maybe want to use same syntax but more synonyms or maybe just use the units pkg.


",https://api.github.com/repos/USEPA/EJAM/issues/324/comments,4/11/2024,4/11/2024,mlfurman3,none,0,0,0,FALSE
69,323,open,"Test ""installing"" vignette for non-EPA public users",documentation|urgency medium|dependencies-related,4538805066|6227894519|6228701467,C5DEF5|FBCA04|C2E0C6,Improvements or additions to documentation||related to dependencies,1,,see #579 ,"Test that EJAM ""installing"" vignette (https://usepa.github.io/EJAM/articles/1_installing.html) works for non-EPA public users, including handling all dependencies.",https://api.github.com/repos/USEPA/EJAM/issues/323/comments,4/11/2024,12/19/2024,mlfurman3,none,1,0,0,FALSE
